indicador,label,correlacion,ci_lower,ci_upper,p_value,n
aprobacion,Aprobación,-0.09075294375525825,-0.4029288658146402,0.24033902922142217,0.5932128249505854,37
reprobacion,Reprobación,0.05125741565858181,-0.2773739136793408,0.36915083555999206,0.7631983437514918,37
repitencia,Repitencia,0.2794227211582611,-0.049042058062546905,0.5533472820380101,0.09395912579758153,37
desercion,Deserción,0.28593858711721043,-0.04197496012388394,0.5582414184978495,0.08623046713183737,37
cobertura_bruta,Cobertura Bruta,0.3169184182159007,-0.007919333328509932,0.5812543173237051,0.05598329320940896,37
cobertura_neta,Cobertura Neta,0.31971065097551216,-0.004812406323739292,0.5833079182287135,0.05373792444877115,37
