anio,valor_ref,valor_comp,brecha_absoluta,ic_inf_abs,ic_sup_abs,brecha_relativa,ic_inf_rel,ic_sup_rel
2011,57.559478127398314,52.27391531625719,-5.285562811141126,-100.15545606791031,89.58433044562807,0.9081721554277749,0.15310289329111845,5.387074314304784
2012,0,0,0,0,0,NA,NA,NA
2013,96.29272989889265,55.36485439043295,-40.92787550845969,-154.6724375755388,72.81668655861941,0.5749640128446462,0.14722772733535658,2.245389656212055
2014,0,0,0,0,0,NA,NA,NA
2015,0,30.321406913280786,30.321406913280786,2.6150728550249696,58.0277409715366,NA,NA,NA
2016,0,12.453300124533005,12.453300124533005,-33.740218727991234,58.64681897705724,NA,NA,NA
2017,0,9.173470323823501,9.173470323823501,-2.699587906609981,21.046528554256984,NA,NA,NA
2018,0,10.079629069650236,10.079629069650236,4.016516452251284,16.142741687049188,NA,NA,NA
2019,0,10.978153474585573,10.978153474585573,4.233430385387559,17.722876563783586,NA,NA,NA
2020,0,22.323920080366115,22.323920080366115,8.14024385693676,36.50759630379547,NA,NA,NA
2021,0,40.53506282934739,40.53506282934739,-29.081742006584598,110.15186766527938,NA,NA,NA
2022,0,66.62225183211193,66.62225183211193,-108.0292280193927,241.27373168361657,NA,NA,NA
2023,164.6090534979424,18.301610541727673,-146.30744295621471,-287.4198478356486,-5.195038076780804,0.1111822840409956,0.04430237156578723,0.27902570105567137
2024,0,76.20499142693846,76.20499142693846,-13.986628941811048,166.396611795688,NA,NA,NA
